"","taxon","taxon_level_functional","functional_trait","source"
"1","Mariager-Fjord-lineage","family","Unknown_consumer","Kalu2023"
"2","Mb5C-lineage","family","Unknown_consumer","Kalu2023"
"3","Variosea","class","Unknown_consumer","Kalu2023"
"4","Dermamoebidae","family","Omnivore","Kalu2023"
"5","Parvamoeba_monoura","species","Bacterivore","Kalu2023"
"6","Parvamoeba","genus","Bacterivore","Kalu2023"
"7","Stygamoebida","order","Bacterivore","Kalu2023"
"8","Hartmannella_abertawensis","species","Bacterivore","Kalu2023"
"9","Hartmannellidae","family","Unknown_consumer","Kalu2023"
"10","Flabellulidae","family","Bacterivore","Kalu2023"
"11","Paraflabellula","genus","Bacterivore","Kalu2023"
"12","Paraflabellula_hoguae","species","Bacterivore","Kalu2023"
"13","Rhizamoeba_saxonica","species","Bacterivore","Kalu2023"
"14","Nolandella","genus","Bacterivore","Kalu2023"
"15","Nolandellidae","family","Bacterivore","Kalu2023"
"16","Apicomplexa","division","Unknown_animal_parasite","Kalu2023"
"17","Coccidiomorphea","class","Unknown_animal_parasite","Kalu2023"
"18","Eimeriida","order","Vertebrate_parasite","Kalu2023"
"19","Eimeriidae","family","Vertebrate_parasite","Kalu2023"
"20","Eimeria10","genus","Vertebrate_parasite","Kalu2023"
"21","Rhytidocystidae","family","Invertebrate_parasite","Kalu2023"
"22","Rhytidocystis_cyamus","species","Invertebrate_parasite","Kalu2023"
"23","Eugregarinorida","order","Invertebrate_parasite","Kalu2023"
"24","Cephaloidophora_communis","species","Invertebrate_parasite","Kalu2023"
"25","Cephaloidophora","genus","Invertebrate_parasite","Kalu2023"
"26","Eugregarinorida_EUG1","family","Invertebrate_parasite","Kalu2023"
"27","Eugregarinorida_EUG2","family","Invertebrate_parasite","Kalu2023"
"28","Eugregarinorida_EUG3","family","Invertebrate_parasite","Kalu2023"
"29","Gregarinidae","family","Invertebrate_parasite","Kalu2023"
"30","Amoebogregarina","genus","Invertebrate_parasite","Kalu2023"
"31","Gregarina1_coronata","species","Invertebrate_parasite","Kalu2023"
"32","Gregarina3","genus","Invertebrate_parasite","Kalu2023"
"33","Leidyana1","genus","Invertebrate_parasite","Kalu2023"
"34","Gregarina_caledia","species","Invertebrate_parasite","Kalu2023"
"35","Leidyana_erratica","species","Invertebrate_parasite","Kalu2023"
"36","Lecudinidae","family","Invertebrate_parasite","Kalu2023"
"37","Lecudina_phyllochaetopteri","species","Invertebrate_parasite","Kalu2023"
"38","Lecudina_tuzetae","species","Invertebrate_parasite","Kalu2023"
"39","Pterospora_floridiensis","species","Invertebrate_parasite","Kalu2023"
"40","Paralecudina","genus","Invertebrate_parasite","Kalu2023"
"41","Polyplicarium_curvarae","species","Invertebrate_parasite","Kalu2023"
"42","Polyplicarium","genus","Invertebrate_parasite","Kalu2023"
"43","Porosporidae","family","Invertebrate_parasite","Kalu2023"
"44","Uradiphoridae","family","Invertebrate_parasite","Kalu2023"
"45","Difficilina_tubulani","species","Invertebrate_parasite","Kalu2023"
"46","Selenidium1","genus","Invertebrate_parasite","Kalu2023"
"47","Selenidium1_boccardiellae","species","Invertebrate_parasite","Kalu2023"
"48","Selenidium1_idanthyrsae","species","Invertebrate_parasite","Kalu2023"
"49","Selenidium1_mesnili","species","Invertebrate_parasite","Kalu2023"
"50","Selenidium1_neosabellariae","species","Invertebrate_parasite","Kalu2023"
"51","Selenidium2_pisinnus","species","Invertebrate_parasite","Kalu2023"
"52","Gregarinomorphea_X_GRE1","order","Invertebrate_parasite","Kalu2023"
"53","Gregarinomorphea_X_GRE5","order","Invertebrate_parasite","Kalu2023"
"54","Gregarinomorphea_X_GRE6","order","Invertebrate_parasite","Kalu2023"
"55","Neogregarinorida","order","Invertebrate_parasite","Kalu2023"
"56","Actinocephalidae","family","Invertebrate_parasite","Kalu2023"
"57","Ascogregarina","genus","Invertebrate_parasite","Kalu2023"
"58","Ascogregarina_barretti","species","Invertebrate_parasite","Kalu2023"
"59","Geneiorhynchus_manifestus","species","Invertebrate_parasite","Kalu2023"
"60","Mattesia","genus","Invertebrate_parasite","Kalu2023"
"61","Monocystis","genus","Invertebrate_parasite","Kalu2023"
"62","Paraschneideria_metamorphosa","species","Invertebrate_parasite","Kalu2023"
"63","Syncystis_mirabilis","species","Invertebrate_parasite","Kalu2023"
"64","Neogregarinorida_NEO2","genus","Invertebrate_parasite","Kalu2023"
"65","Stenophora_robusta","species","Invertebrate_parasite","Kalu2023"
"66","Apusomonadidae_Group-1_XX","family","Bacterivore","Kalu2023"
"67","Amastigomonas_mutabilis","species","Bacterivore","Kalu2023"
"68","Amastigomonas","genus","Bacterivore","Kalu2023"
"69","Apusomonadidae_Group-1","class","Bacterivore","Kalu2023"
"70","Apusomonas_proboscidea","species","Bacterivore","Kalu2023"
"71","Breviata_anathema","species","Bacterivore","Kalu2023"
"72","Subulatomonas-lineage","family","Bacterivore","Kalu2023"
"73","Subulatomonas_tetraspora","species","Bacterivore","Kalu2023"
"74","NAMAKO-1-lineage","class","Bacterivore","Kalu2023"
